id,col_3,col_4,col_5
3874,A2b,072/072,A2b-072
3875,A2b,071/072,A2b-071
3876,A2b,070/072,A2b-070
3877,A2b,069/072,A2b-069
3878,A2b,068/072,A2b-068
3879,A2b,067/072,A2b-067
3880,A2b,066/072,A2b-066
3881,A2b,065/072,A2b-065
3882,A2b,064/072,A2b-064
3883,A2b,063/072,A2b-063
3884,A2b,062/072,A2b-062
3885,A2b,061/072,A2b-061
3886,A2b,060/072,A2b-060
3887,A2b,059/072,A2b-059
3888,A2b,058/072,A2b-058
3889,A2b,056/072,A2b-056
3890,A2b,055/072,A2b-055
3891,A2b,054/072,A2b-054
3892,A2b,053/072,A2b-053
3893,A2b,052/072,A2b-052
3894,A2b,051/072,A2b-051
3895,A2b,050/072,A2b-050
3896,A2b,049/072,A2b-049
3897,A2b,048/072,A2b-048
3898,A2b,047/072,A2b-047
3899,A2b,046/072,A2b-046
3900,A2b,045/072,A2b-045
3901,A2b,044/072,A2b-044
3902,A2b,043/072,A2b-043
3903,A2b,042/072,A2b-042
3904,A2b,041/072,A2b-041
3905,A2b,040/072,A2b-040
3906,A2b,039/072,A2b-039
3907,A2b,038/072,A2b-038
3908,A2b,037/072,A2b-037
3909,A2b,057/072,A2b-057
3910,A2b,036/072,A2b-036
3911,A2b,035/072,A2b-035
3912,A2b,034/072,A2b-034
3913,A2b,033/072,A2b-033
3914,A2b,032/072,A2b-032
3915,A2b,031/072,A2b-031
3916,A2b,030/072,A2b-030
3917,A2b,029/072,A2b-029
3918,A2b,028/072,A2b-028
3919,A2b,027/072,A2b-027
3920,A2b,026/072,A2b-026
3921,A2b,025/072,A2b-025
3922,A2b,024/072,A2b-024
3923,A2b,023/072,A2b-023
3924,A2b,022/072,A2b-022
3925,A2b,021/072,A2b-021
3926,A2b,020/072,A2b-020
3927,A2b,019/072,A2b-019
3928,A2b,018/072,A2b-018
3929,A2b,017/072,A2b-017
3930,A2b,016/072,A2b-016
3931,A2b,015/072,A2b-015
3932,A2b,014/072,A2b-014
3933,A2b,013/072,A2b-013
3934,A2b,012/072,A2b-012
3935,A2b,011/072,A2b-011
3936,A2b,010/072,A2b-010
3937,A2b,009/072,A2b-009
3938,A2b,008/072,A2b-008
3939,A2b,007/072,A2b-007
3940,A2b,006/072,A2b-006
3941,A2b,005/072,A2b-005
3942,A2b,004/072,A2b-004
3943,A2b,003/072,A2b-003
3944,A2b,002/072,A2b-002
3945,A2b,001/072,A2b-001
3946,PROMO-A,073/P-A,P-A-073
3947,PROMO-A,072/P-A,P-A-072
3948,PROMO-A,071/P-A,P-A-071
3949,PROMO-A,070/P-A,P-A-070
3950,PROMO-A,069/P-A,P-A-069
3951,PROMO-A,066/P-A,P-A-066
3952,PROMO-A,065/P-A,P-A-065
3953,PROMO-A,064/P-A,P-A-064
3954,PROMO-A,063/P-A,P-A-063
3955,PROMO-A,062/P-A,P-A-062
3956,PROMO-A,061/P-A,P-A-061
3957,PROMO-A,060/P-A,P-A-060
